0,1;1,22
0,2;2,22
0,3;3,22
0,4;4,22
0,5;5,22
0,6;6,22
0,7;7,22
0,8;8,22
0,9;9,22
0,10;10,22
1,2;2,21
1,3;3,21
1,4;4,21
1,5;5,21
1,6;6,21
1,7;7,21
1,8;8,21
1,9;9,21
1,10;10,21
2,3;3,20
2,4;4,20
2,5;5,20
2,6;6,20
2,7;7,20
2,8;8,20
2,9;9,20
2,10;10,20
3,4;4,19
3,5;5,19
3,6;6,19
3,7;7,19
3,8;8,19
3,9;9,19
3,10;10,19
4,5;5,18
4,6;6,18
4,7;7,18
4,8;8,18
4,9;9,18
4,10;10,18
5,6;6,17
5,7;7,17
5,8;8,17
5,9;9,17
5,10;10,17
6,7;7,16
6,8;8,16
6,9;9,16
6,10;10,16
7,8;8,15
7,9;9,15
7,10;10,15
8,9;9,14
8,10;10,14
9,10;10,13
