0,1;1,36
0,2;2,36
0,3;3,36
0,4;4,36
0,5;5,36
0,6;6,36
0,7;7,36
0,8;8,36
0,9;9,36
0,10;10,36
0,11;11,36
0,12;12,36
0,13;13,36
0,14;14,36
0,15;15,36
0,16;16,36
0,17;17,36
1,2;2,35
1,3;3,35
1,4;4,35
1,5;5,35
1,6;6,35
1,7;7,35
1,8;8,35
1,9;9,35
1,10;10,35
1,11;11,35
1,12;12,35
1,13;13,35
1,14;14,35
1,15;15,35
1,16;16,35
1,17;17,35
2,3;3,34
2,4;4,34
2,5;5,34
2,6;6,34
2,7;7,34
2,8;8,34
2,9;9,34
2,10;10,34
2,11;11,34
2,12;12,34
2,13;13,34
2,14;14,34
2,15;15,34
2,16;16,34
2,17;17,34
3,4;4,33
3,5;5,33
3,6;6,33
3,7;7,33
3,8;8,33
3,9;9,33
3,10;10,33
3,11;11,33
3,12;12,33
3,13;13,33
3,14;14,33
3,15;15,33
3,16;16,33
3,17;17,33
4,5;5,32
4,6;6,32
4,7;7,32
4,8;8,32
4,9;9,32
4,10;10,32
4,11;11,32
4,12;12,32
4,13;13,32
4,14;14,32
4,15;15,32
4,16;16,32
4,17;17,32
5,6;6,31
5,7;7,31
5,8;8,31
5,9;9,31
5,10;10,31
5,11;11,31
5,12;12,31
5,13;13,31
5,14;14,31
5,15;15,31
5,16;16,31
5,17;17,31
6,7;7,30
6,8;8,30
6,9;9,30
6,10;10,30
6,11;11,30
6,12;12,30
6,13;13,30
6,14;14,30
6,15;15,30
6,16;16,30
6,17;17,30
7,8;8,29
7,9;9,29
7,10;10,29
7,11;11,29
7,12;12,29
7,13;13,29
7,14;14,29
7,15;15,29
7,16;16,29
7,17;17,29
8,9;9,28
8,10;10,28
8,11;11,28
8,12;12,28
8,13;13,28
8,14;14,28
8,15;15,28
8,16;16,28
8,17;17,28
9,10;10,27
9,11;11,27
9,12;12,27
9,13;13,27
9,14;14,27
9,15;15,27
9,16;16,27
9,17;17,27
10,11;11,26
10,12;12,26
10,13;13,26
10,14;14,26
10,15;15,26
10,16;16,26
10,17;17,26
11,12;12,25
11,13;13,25
11,14;14,25
11,15;15,25
11,16;16,25
11,17;17,25
12,13;13,24
12,14;14,24
12,15;15,24
12,16;16,24
12,17;17,24
13,14;14,23
13,15;15,23
13,16;16,23
13,17;17,23
14,15;15,22
14,16;16,22
14,17;17,22
15,16;16,21
15,17;17,21
16,17;17,20
